,Date,StartupName,CityLocation,InvestorsName,InvestmentType,AmountInUSD
249,10/01/2017,Intelligence Node,Mumbai,BlackSoil Capital Pvt Ltd,Private Equity,"800,000"
250,10/01/2017,Securens,Mumbai,"Mayfield India, Trifecta Capital",Private Equity,"5,000,000"
251,10/01/2017,Loan Frame,Gurgaon,"Vedanta Capital, William Campbell, Toos N Daruvala",Private Equity,"2,250,000"
252,10/01/2017,Medinfi,Bangalore,"Vinod Martin, Evan Lim, Kanchan Ghoshal, Ram Kumar Kakani",Seed Funding,"100,000"
253,10/01/2017,LensKart,Bangalore,Ronnie Screwvala,Private Equity,"3,500,000"
254,12/01/2017,Hansel.io,Bangalore,"IDG Ventures, Endiya Partners",Private Equity,"1,350,000"
255,12/01/2017,Square Yards,Gurgaon,"Lohia Group, Andre Hoffman",Private Equity,"10,000,000"
256,13/01/2017,Roambee,Mumbai,Deutsche Telekom Strategic Investments & Others,Private Equity,"4,100,000"
257,13/01/2017,iService,Bangalore,"Blume Ventures, Girish Mathrubootham, Aprameya Radhakrishna",Seed Funding,"440,000"
258,14/01/2017,Unacademy,Bangalore,"Nexus Venture Partners, Blume Ventures",Private Equity,"4,500,000"
259,16/01/2017,ZoloStays,Bangalore,"Nexus Venture Partners, Innoven Capital",Private Equity,"5,000,000"
260,16/01/2017,HipCouch,Mumbai,Undisclosed Investors,Seed Funding,"700,000"
261,17/01/2017,Curiositi,Bangalore,"Menterra Social Impact Fund, Unitus Seed Fund",Private Equity,"800,000"
262,17/01/2017,TinyStep,Bangalore,Flipkart,Private Equity,"2,000,000"
263,17/01/2017,Practo,Bangalore,"Tencent,  ru-Net, RSI Fund, Thrive Capital",Private Equity,"55,000,000"
264,17/01/2017,Ketchupp,New Delhi,India Quotient and others,Seed Funding,"441,000"
265,17/01/2017,Hoopy,Gwalior,undisclosed investors,Seed Funding,"500,000"
266,17/01/2017,Ezytruk,Bangalore,"Ajith Nair, Anish K",Seed Funding,"147,000"
267,18/01/2017,Vahdam Teas,New Delhi,"Mumbai Angels Network, Fireside Ventures, Singapore Angel Network",Seed Funding,"650,000"
268,18/01/2017,Qwikspec,Bangalore,Undisclosed Investors,Seed Funding,"300,000"
269,19/01/2017,Weddingz.in,Mumbai,Singularity Ventures,Private Equity,"1,000,000"
270,22/01/2017,MessaGif,New Delhi,Undisclosed investor,Seed Funding,"50,000"
271,23/01/2017,CueMath,New Delhi,"CapitalG, Sequoia India",Private Equity,"15,000,000"
272,24/01/2017,Khel Now,Bangalore,Indochine International,Private Equity,"500,000"
273,24/01/2017,NowFloats,Hyderabad,"Iron Pillar and IIFL, Blume Ventures, Omidyar Network",Private Equity,"10,000,000"
274,24/01/2017,Lets Transport,Bangalore,"GMO Japan, Neelesh Bhatnagar",Private Equity,"4,000,000"
275,25/01/2017,RML Agtech,Pune,IvyCap Ventures,Private Equity,"4,000,000"
276,25/01/2017,InstaSafe,Bangalore,ABM Knowledgeware,Private Equity,"2,200,000"
277,25/01/2017,Infibeam,Ahmedabad,"Bennett, Coleman and Company Ltd",Private Equity,"8,800,000"
278,26/01/2017,AirMed Labs,Ahmedabad,Brand Capital,Private Equity,"1,400,000"
279,26/01/2017,99PerHour,Chennai,V Aanand R,Seed Funding,"300,000"
280,30/01/2017,Intuit Things,Mumbai,Sanjay Mehta & Others ( The Ten Minute Million),Seed Funding,"106,000"
281,30/01/2017,Cloudrino,New Delhi,The Ten Minute Million,Seed Funding,"22,500"
282,30/01/2017,FabX,Mumbai,The Ten Minute Million,Seed Funding,"68,000"
283,30/01/2017,Maptags,Bangalore,The Ten Minute Million,Seed Funding,"18,000"
284,31/01/2017,Heads Up For Tails,New Delhi,Undisclosed Investors,Private Equity,"2,000,000"
285,01/12/2016,SidQam,Noida,"SQue Capital, Grace Capital Ventures, Soham Vencaps",Private Equity,"1,200,000"
286,01/12/2016,India Lends,New Delhi,"DSG Consumer Partners, American Express Ventures, Cyber Carrier VC, AdvantEdge Partners",Private Equity,"4,000,000"
287,01/12/2016,Slide App,New Delhi,Songhyun Investment,Private Equity,"3,600,000"
288,02/12/2016,Badiyajobs,New Delhi,Undisclosed,Seed Funding,"100,000"
289,02/12/2016,TYGR,Mumbai,Franchise India,Private Equity,"3,000,000"
290,05/12/2016,UrDoorStep,Bangalore,Lakshmi Vilas Bank & undisclosed HNIs,Private Equity,"1,400,000"
291,06/12/2016,Diro Labs,New Delhi,Info Edge (India),Seed Funding,"147,000"
292,07/12/2016,Revv,New Delhi,Edelweiss Private Equity,Private Equity,"9,000,000"
293,07/12/2016,WealthApp,Bangalore,"Venk Krishnan, MJ Aravind, Vikram Kotak, Jayant Davar,  Ramkumar Nishtal, Arjun Sharmaa",Seed Funding,"440,000"
294,08/12/2016,Zest Money,Mumbai,PayU,Private Equity,"6,500,000"
295,08/12/2016,GoMechanic,Gurgaon,Venture Catalysts,Seed Funding,"250,000"
296,09/12/2016,Stalk Buy Love,New Delhi,Kalaari Capital,Private Equity,"6,000,000"
297,09/12/2016,Wittyparot,Bangalore,Mumbai Angels,Seed Funding,"450,000"
298,09/12/2016,NeuroEquilibrium,Jaipur,Unicorn India Ventures,Seed Funding,"250,000"
299,12/12/2016,Xseed Education,Bangalore,Verlinvest SA,Private Equity,"10,000,000"
300,12/12/2016,Rupaiya Exchange,New Delhi,Undisclosed Investors,Seed Funding,"200,000"
301,12/12/2016,Doctor Insta,Gurgaon,RoundGlass Partners,Private Equity,"2,000,000"
302,12/12/2016,Fresh Food Concepts,New Delhi,"Siddhartha Gupta, Ashvin Chadha",Seed Funding,"2,000,000"
303,13/12/2016,Indifi,Gurgaon,Omidyar Network,Private Equity,"10,000,000"
304,13/12/2016,OfBusiness,Gurgaon,"Zodius Technology Opportunities Fund, Matrix Partners",Private Equity,"11,100,000"
305,14/12/2016,Qacco,Gurgaon,"Lead Angels Network, Anbu Pandian, Prabhakar MR & Others",Seed Funding,"150,000"
306,14/12/2016,Fitpass,New Delhi,Mumbai Angels,Seed Funding,"1,000,000"
307,14/12/2016,Trading Bells,Indore,Swastika Investmart Ltd,Seed Funding,"297,000"
308,15/12/2016,SERV’D,Pune,Digital Financial Service Lab,Seed Funding,"100,000"
309,15/12/2016,IdeaForge,Mumbai,"WRV Capital and IndusAge Partners, Infosys Innovation Fund",Private Equity,"10,000,000"
310,15/12/2016,Amagi Media Labs,Mumbai,"Emerald Media, Premji Invest",Private Equity,"35,000,000"
311,15/12/2016,Pocket Aces,Mumbai,"Sequoia Capital India, North Base Media, Aarin Capital, 3one4 Capital, Axilor Ventures, Kunal Shah, Sandeep Tandon",Private Equity,"3,000,000"
312,16/12/2016,Pi Data Centers,Hyderabad,Epsilon Venture Partners,Private Equity,"23,000,000"
313,16/12/2016,TripShelf,New Delhi,"GEMS Advisory, Quarizon",Seed Funding,"123,000"
314,19/12/2016,NoBroker,Bangalore,"KTB Network, SAIF Partners, BEENEXT, Digital Garage",Private Equity,"7,400,000"
315,20/12/2016,VivoCarat,Mumbai,Undisclosed Investors,Seed Funding,"50,000"
316,20/12/2016,BYJU’s,Bangalore,International Financial Corporation,Private Equity,"15,000,000"
317,21/12/2016,The BlueBook,Bangalore,"Indian Angel Network, Let’s Venture",Seed Funding,"500,000"
318,21/12/2016,Vegetall,Chennai,The Chennai Angels,Seed Funding,"162,000"
319,22/12/2016,Mindler,New Delhi,Taxmann,Seed Funding,"324,000"
320,22/12/2016,MCaffeine,Bangalore,"Kaushal Agarwal, Harminder Sahani, KK Mehra, Pranay Jivrajka, Navjot Saini",Seed Funding,"300,000"
321,23/12/2016,enKast,Bangalore,Ivy League Alumni Angel Network,Private Equity,"2,000,000"
322,26/12/2016,Dekkho,Mumbai,undisclosed investors,Seed Funding,"1,200,000"
323,26/12/2016,Shadowfox,Gurgaon,Eight Roads Ventures,Private Equity,"10,000,000"
324,27/12/2016,ShopX,Bangalore,Nandan Nilekani,Private Equity,"5,000,000"
325,29/12/2016,Healthifyme,Bangalore,NB Ventures,Private Equity,"1,000,000"
326,01/11/2016,PickMyLaundry,New Delhi,"Kedar Lele, GHV Accelerator",Seed Funding,"200,000"
327,02/11/2016,FreshDesk,Chennai,"Sequoia Capital India, Accel Partners",Private Equity,"55,000,000"
328,02/11/2016,LaundryAnna,Bangalore,Undisclosed Investors,Seed Funding,"150,000"
329,03/11/2016,Zarget,Chennai,Sequoia India,Private Equity,"6,000,000"
330,03/11/2016,EasyPolicy,Noida,"Unilazer Ventures,",Private Equity,"10,000,000"
331,04/11/2016,Connect India,Bangalore,Aavishkaar Venture Management,Private Equity,"1,000,000"
332,04/11/2016,Corseco,New Delhi,"Ameera Shah, Vivek Bhargava",Seed Funding,"150,000"
333,05/11/2016,Medzin,New Delhi,A M Sikander,Seed Funding,"45,000"
334,05/11/2016,Bizongo,Mumbai,"IDG Ventures, Accel Partners",Private Equity,"3,000,000"
335,07/11/2016,Rivigo,Gurgaon,Warburg Pincus,Private Equity,"75,000,000"
336,07/11/2016,JustRide,Mumbai,"Justin Kan, Qasar Younis, Paul Bucche, Susa Ventures, Kima Ventures, Axan Venture, SCM Holdings",Private Equity,"3,000,000"
337,09/11/2016,IIM Jobs,New Delhi,India Quotient,Private Equity,"2,000,000"
338,09/11/2016,Square Yards,Gurgaon,ADAG Reliance Private Equity,Private Equity,"12,000,000"
339,10/11/2016,GolfLAN,New Delhi,"YourNest Angel Fund, iSON",Private Equity,"1,000,000"
340,14/11/2016,Active.ai,Singapore,"Kalaari Capital, IDG Ventures India",Private Equity,"3,000,000"
341,14/11/2016,ElasticRun,Pune,"Kalaari Capital, Norwest Venture Partners",Private Equity,"2,000,000"
342,15/11/2016,Zefo,Bangalore,"Sequoia India, BEENEXT, Helion Ventures",Private Equity,"6,000,000"
343,15/11/2016,PlaySimple,Bangalore,"SAIF Partners, IDG Ventures India",Private Equity,"4,000,000"
344,16/11/2016,Stasis Labs,Bangalore,"RTP-HC, Wonder Ventures, Techstars Ventures & Others",Private Equity,"5,000,000"
345,17/11/2016,Koovs,New Delhi,Times of India Group & Existing investors,Private Equity,"13,500,000"
346,17/11/2016,Pictor Imaging,Mumbai,Quarizon,Seed Funding,"147,000"
347,18/11/2016,GramCover,New Delhi,Omnivore Capital,Seed Funding,"1,000,000"
348,21/11/2016,Bats on delivery,Gurgaon,Devdeep Singh,Seed Funding,"90,000"
349,21/11/2016,numberz.in,Gurgaon,"Kae Capital, Khosla Impact",Seed Funding,"650,000"
350,22/11/2016,Housing.com,Mumbai,Softbank Group,Private Equity,"5,000,000"
351,22/11/2016,Awesummly,Bangalore,"Vivek Bhargava, Ameera Shah",Seed Funding,"147,000"
352,22/11/2016,Vymo,Bangalore,Sequoia India,Private Equity,"5,000,000"
353,22/11/2016,Noddapp,Mumbai,Undisclosed multiple investors,Seed Funding,"147,000"
354,23/11/2016,Knowlarity,Bangalore,"Delta Partners, Sequoia India,  Mayfield, Blacksoil, Trifecta Capital",Private Equity,"20,000,000"
355,23/11/2016,Infisecure,Mumbai,"IDG Ventures, Axilor Ventures",Seed Funding,"600,000"
356,23/11/2016,Udaan,Bangalore,"Lightspeed Venture Partners India, Lightspeed US",Private Equity,"10,000,000"
357,24/11/2016,ShareChat,Mumbai,"Lightspeed India Partners, SAIF Partners, India Quotient, Venture Highway",Private Equity,"4,000,000"
358,28/11/2016,Kloseby,Bangalore,Undisclosed Investor,Seed Funding,"100,000"
359,28/11/2016,WholeSaleBox,Jaipur,"Manish Maheshwari, Contrarian Vriddhi Fund",Private Equity,"2,000,000"
360,29/11/2016,Affordplan,New Delhi,"Prime Venture Partners, Kalaari Capital",Private Equity,"3,000,000"
361,30/11/2016,HandyTrain,Goa,"Silver Range Investments, Lumina Datamatics, Shun Yoshida & Others",Private Equity,"1,000,000"
362,30/11/2016,ShopsUp,Bangalore,"Anand Sankeshwar, Yang Shu",Seed Funding,"963,000"
363,30/11/2016,Indofash,Bangalore,"Shekhar Sahu, Nitesh Pant",Seed Funding,"150,000"
364,30/11/2016,Entropika,Bangalore,"Dileep Bhatt, Milind Chaudhary",Seed Funding,"200,000"
365,30/11/2016,MarianaIQ,Bangalore,Exfinity Venture Partners,Private Equity,"2,000,000"
366,30/11/2016,Chai Thela,Noida,Quarizon,Seed Funding,"218,000"
367,30/11/2016,Interviewpad,Pune,Krishna Rokhale,Seed Funding,"100,000"
368,30/11/2016,Math Buddy,Vadodara,Menterra Social Impact Fund,Seed Funding,"440,000"
369,30/11/2016,Pulse,Bangalore,SAIF Partners,Private Equity,"500,000"
370,30/11/2016,Carcrew.in,Mumbai,TVS Group,Seed Funding,"500,000"
371,03/10/2016,Mystifly,Bangalore,Recruit Holdings,Private Equity,"5,000,000"
372,03/10/2016,Uniphore,Chennai,"IDG Ventures, Indian Angel Network (IAN), YourNest Angel Fund",Private Equity,"2,000,000"
373,03/10/2016,World Art Community,Gurgaon,Viraj Tyagi & Others,Seed Funding,"200,000"
374,04/10/2016,Giftxoxo,Bangalore,Mahindra Holidays & Resorts India Ltd,Private Equity,"450,000"
375,04/10/2016,India Gifts Portal,Noida,"Naveen Arya, Tarun Joshi",Private Equity,"2,000,000"
376,04/10/2016,Moglix,Noida,"Accel Partners, Jungle Ventures, SeedPlus",Private Equity,"4,200,000"
377,04/10/2016,NetLinx,Hyderabad,"Xchange Investors NV, TransGlobal FZC",Private Equity,"3,000,000"
378,04/10/2016,Remitr,Mumbai,"Vijay Shekhar Sharma, Pravin Gandhi,  Smart Start Fund; Kunal Shah,  Sandeep Tandon, Vishal Gondal, & Others",Seed Funding,"1,000,000"
379,04/10/2016,InnerChef,Gurgaon,"Mistletoe, M&S Partners",Private Equity,"2,500,000"
380,04/10/2016,AppsDaily,Mumbai,"Zodius Capital, Kalaari Capital, Qualcomm Ventures, Russian venture capital fund Ru-Net, Mumbai Angels",Private Equity,"3,750,000"
381,05/10/2016,UE LifeSciences,Mumbai,"Kiran Mazumdar-Shaw, Unitus Seed Fund",Private Equity,"1,200,000"
382,06/10/2016,RealBox,Noida,Hyderabad Angels,Seed Funding,"300,000"
383,06/10/2016,GoZefo,Bangalore,"Helion Venture Partners, BeeNext",Private Equity,"1,050,000"
384,07/10/2016,RayIOT,Bangalore,HAX Accelerator,Seed Funding,"100,000"
385,07/10/2016,KOOH Sports,Mumbai,"HDFC, Faering Capital, Elevate Sports",Private Equity,"2,200,000"
386,07/10/2016,Flexiloans,Mumbai,"Sanjay Nayar, Vikram Sud, Anil Jaggia, Narayan Seshadri",Private Equity,"15,000,000"
387,10/10/2016,Vithi.com,New Delhi,undisclosed investor,Seed Funding,"375,000"
388,11/10/2016,Yupp TV,Bangalore,Emerald Media,Private Equity,"50,000,000"
389,11/10/2016,Deyor Camps,Gurgaon,"Nitin Passi, Manickam Mahalingam, Udaan Angels, Rajesh Arora, Arkas Industries",Seed Funding,"500,000"
390,13/10/2016,FabAlley,Noida,"India Quotient, FAO Ventures, Indian Angel Network, Tushar Singh, Ranjan Sharma",Private Equity,"2,000,000"
391,13/10/2016,RoboVac,Ahmedabad,Virendra Patel,Seed Funding,"450,000"
392,14/10/2016,Newspatrolling,New Delhi,Undisclosed,Seed Funding,"25,000"
393,14/10/2016,Postman,Bangalore,Nexus Venture Partners,Private Equity,"7,000,000"
394,14/10/2016,ISFC,Hyderabad,Gray Matters Capital,Private Equity,"6,000,000"
395,15/10/2016,DailyHunt,Bangalore,"ByteDance, Arun Sarin, Matrix Partners, Sequoia Capital India, Omidyar Network,  Falcon Edge",Private Equity,"25,000,000"
396,15/10/2016,Tazzo Bikes,Hyderabad,DSG Consumer Partners,Seed Funding,"227,000"
397,15/10/2016,MyKindofJob,Mumbai,"Mayank Shah, Shreyans Shah",Seed Funding,"1,000,000"
398,17/10/2016,Yumigo,Gurgaon,Hemant Sahni,Seed Funding,"300,000"
399,17/10/2016,Rentalpha,Mumbai,Bravia Capital,Private Equity,"16,000,000"
400,18/10/2016,3Dexter,New Delhi,Newbie Promoters,Seed Funding,"150,000"
401,18/10/2016,MySUN,Noida,General Catalyst Partners,Private Equity,"2,500,000"
402,19/10/2016,Furlenco,Bangalore,"Lightbox Ventures, Axis Capital & Others",Private Equity,"30,000,000"
403,19/10/2016,Fisdom,Bangalore,"Saama Capital, Raghunandan G, Aprameya Radhakrishna",Private Equity,"1,100,000"
404,19/10/2016,Actofit,Mumbai,Next Orbit Ventures Fund,Private Equity,"750,000"
405,21/10/2016,ChatOnGo,Mumbai,Janak Jain,Seed Funding,"300,000"
406,24/10/2016,Healthians,Gurgaon,BEENEXT,Private Equity,"3,000,000"
407,24/10/2016,Box8,Mumbai,"IIFL Seed Ventures Fund, Mayfield Ventures",Private Equity,"7,500,000"
408,25/10/2016,Kredx,Bangalore,Sequoia Capital,Private Equity,"6,000,000"
409,25/10/2016,CreditMate,Mumbai,India Quotient,Seed Funding,"500,000"
410,25/10/2016,SooperMO,Gurgaon,Lalit Vase,Seed Funding,"100,000"
411,26/10/2016,OrangeTwig,New Delhi,Undisclosed investor,Seed Funding,"1,000,000"
412,26/10/2016,The Kettlery,Ahmedabad,"hooting Starts Sports LLP, Franchise India Brands",Private Equity,"1,000,000"
413,27/10/2016,Idea Bubbles,Bangalore,"1Crowd, Eureka Forbes Ltd, Shapoorji Pallonji & Co. Ltd.",Private Equity,"700,000"
414,27/10/2016,FR8,Chennai,Omnivore Partners,Private Equity,"971,000"
415,27/10/2016,Ather Energy,Bangalore,Hero MotoCorp,Private Equity,"27,000,000"
416,29/10/2016,Velmenni,New Delhi,Kalaari Capital,Seed Funding,"100,000"
417,29/10/2016,Volta Motors,Chennai,Kalaari Capital,Seed Funding,"100,000"
418,29/10/2016,Cyclops,Bangalore,Kalaari Capital,Seed Funding,"100,000"
419,30/10/2016,Impact Analytics,Bangalore,"Aarin Capital, Michael Herzig, Ashish Lakhanpal",Private Equity,"750,000"
420,31/10/2016,Talent Next,Mumbai,Karanpal Singh & Others,Seed Funding,"1,000,000"
421,01/9/2016,Mihup,Kolkata,Accel Partners,Private Equity,"6,700,000"
422,06/9/2016,eShakti,Chennai,"Infina Finance Pvt. Ltd, Uday Kotak",Private Equity,"1,350,000"
423,06/9/2016,CheersOye!,Mumbai,Undisclosed Investors,Seed Funding,"500,000"
424,06/9/2016,BigStylist,Mumbai,Info Edge (India) Ltd,Private Equity,"900,000"
425,07/9/2016,Zilingo,Bangalore/ Bangkok,"Venturra Capital, Sequoia India, Susquehanna International Group.  Wavemaker Partners, Beenext, Beenos, Digital Garage",Private Equity,"8,000,000"
426,07/9/2016,Alternacare,New Delhi,Eros Labs,Seed Funding,"500,000"
427,07/9/2016,Simplilearn,Bangalore,InnoVen Capital India,Private Equity,"6,000,000"
428,07/9/2016,Prozo,Gurgaon,"Earlsfield Capital, Sailender Solanki, Rajiv Solanki",Seed Funding,"315,000"
429,08/9/2016,TopRankers,Bangalore,"CareerNet Consulting Pvt. Ltd, Ideation Initiative Pvt. Ltd,",Seed Funding,"670,000"
430,08/9/2016,BuildTraders,Bangalore,Idein Ventures,Seed Funding,"200,000"
431,09/9/2016,Byju’s,Bangalore,"Chan Zuckerberg Initiative, Times Internet Ltd, Sequoia Capital, Sofina, Lightspeed Ventures",Private Equity,"50,000,000"
432,10/9/2016,CureInstant,New Delhi,Dr. Rameshwar Kumar,Seed Funding,"150,000"
433,10/9/2016,Poshtic,Noida,"havya Sharma, Amit Nagar",Seed Funding,"450,000"
434,12/9/2016,Purple Style Labs,Mumbai,"Augment Ventures, Rahul Kayan, Nikhil Golcha, Shubham Gupta, Roy Kwan",Seed Funding,"448,000"
435,12/9/2016,Inuxu,Pune,Fork Media,Private Equity,"3,000,000"
436,12/9/2016,Nykaa,Mumbai,"Sunil Munjal, Mariwala family",Private Equity,"12,300,000"
437,12/9/2016,Glam Studios,Noida,"Pradeep Mirani, Aqeel Ahmed, Anand Ladsariya, Nitin Agarwal",Seed Funding,"300,000"
438,13/9/2016,NearBuy,Gurgaon,BlackSoil Capital Pvt. Ltd.,Private Equity,"2,500,000"
439,14/9/2016,Flocareer,Bangalore,"Balasubramanian Krishnamurthy, Sidhartha Hazarika & Others",Seed Funding,"150,000"
440,15/9/2016,infeedo,Gurgaon,"Dheeraj Jain, Palash Jain, Anupam Mittal, Ameera Shah,  Vivek Bhargava, Rahul Singh, Ambarish Gupta,",Seed Funding,"200,000"
441,15/9/2016,Furlenco,Bangalore,Lightbox Ventures and others,Private Equity,"5,000,000"
442,15/9/2016,GoPigeon,Bangalore,Nexus Venture Partners,Private Equity,"1,500,000"
443,16/9/2016,NewsDistill,Hyderabad,"Ganesh Narasimhan, Ramana Thumu, Sudhir Mallem",Seed Funding,"100,000"
444,16/9/2016,DoctorInsta,Gurgaon,RoundGlass Partners,Private Equity,"1,000,000"
445,19/9/2016,Milofy,Bangalore,Accel Partners,Seed Funding,"750,000"
446,19/9/2016,Swiggy,Bangalore,Bessemer Venture Partners,Private Equity,"15,000,000"
447,20/9/2016,JustLikeNew,Hyderabad,LetsVenture,Seed Funding,"500,000"
448,21/9/2016,Co Life,Bangalore,Undisclosed Investors,Seed Funding,"1,000,000"
449,21/9/2016,Pepperfry,Mumbai,"Goldman Sachs Group, Zodius Technology Fund, Norwest Venture Partners, Bertelsmann India",Private Equity,"31,300,000"
450,21/9/2016,eQuickies,Ahmedabad,Lothal Angel Ventures,Seed Funding,"298,000"
451,21/9/2016,Khel Now,New Delhi,Anglian Omega Network,Seed Funding,"350,000"
452,22/9/2016,Gadgetwood,New Delhi,Carpediem Capital,Private Equity,"6,000,000"
453,22/9/2016,Flixy Games,Bangalore,Rebright Partners,Seed Funding,"425,000"
454,22/9/2016,HashTaag,Bangalore,Undisclosed investors,Seed Funding,"1,000,000"
455,22/9/2016,PharmaRack,Pune,"Currae Healthtech Fund, Unicorn India Ventures",Private Equity,"745,000"
456,23/9/2016,CloudCherry,Chennai,"Vertex Ventures, Cisco Ventures, IDG Ventures",Private Equity,"6,000,000"
457,27/9/2016,TinyStep,Bangalore,Flipkart Logistics Pvt. Ltd,Private Equity,"1,580,000"
458,28/9/2016,Beardo,Ahmedabad,Venture Catalysts,Seed Funding,"500,000"
459,28/9/2016,Instacar,Indore,Swastika Co Ltd.,Seed Funding,"1,000,000"
460,28/9/2016,Celes Care,Hyderabad,Endiya Partners,Seed Funding,"1,000,000"
461,28/9/2016,Druva,Pune,"Sequoia India, EDBI, Blue Cloud Ventures, Hercules Capital",Private Equity,"51,000,000"
462,29/9/2016,Promon,New Delhi,Now Capital,Seed Funding,"180,000"
463,29/9/2016,Unocoin,Bangalore,"Blume Ventures, Mumbai Angels, ah! Ventures, Digital Currency Group, Boost VC, Bank to the Future and Funders Club",Private Equity,"1,500,000"
464,30/9/2016,Zeta,Mumbai,Bhavin Turakhia,Private Equity,"19,000,000"
465,01/8/2016,HealthKart,Gurgaon,"Sequoia Capital India, Omidyar Network, Kae Capital",Private Equity,"12,000,000"
466,01/8/2016,Medinfi,Bangalore,"Mudit Saxena, Evan Lim",Seed Funding,"200,000"
467,01/08/2016,RepairEasy,Pune,Undisclosed HNIs,Seed Funding,"275,000"
468,01/08/2016,Voonik,Bangalore,InnoVen Capital,Private Equity,"3,000,000"
469,01/08/2016,Tokri,Pune,Syska LED group,Private Equity,"2,500,000"
470,02/08/2016,Sheroes,Noida,"Lumis Partners, The HR Fund, Rajul Garg, Quintillion Media",Private Equity,"1,800,000"
471,02/08/2016,Yumlane,Mumbai,"Binny Bansal, Anupam Mittal, Sachin Bhatia, Darius Pandole, Kunal Khattar, Dheerag Jain",Seed Funding,"1,000,000"
472,03/08/2016,ExtraCarbon,Gurgaon,Brand Capital,Seed Funding,"225,000"
473,03/08/2016,FlickBay,Mumbai,Paul Roy,Seed Funding,"890,000"
474,04/08/2016,Petoo,Bangalore,Existing Investors,Seed Funding,"500,000"
475,06/08/2016,VST Travels,Kerala,Promatus Group,Seed Funding,"27,000"
476,08/08/2016,Wefly Indoor Skydiving,Mumbai,Swastika Company Ltd.,Seed Funding,"40,000"
477,08/08/2016,Mojarto,Gurgaon,Undisclosed Investors,Seed Funding,"445,000"
478,08/08/2016,Zipgrid,Mumbai,1Crowd (through crowd funding),Seed Funding,"200,000"
479,10/08/2016,Vebbler,Bangalore,"Anupam Mittal, Sharad Sharma & 14 others",Seed Funding,"500,000"
480,10/08/2016,Bombay Shaving Company,New Delhi,"Noshir Kaka, Subramanian Ramadorai, Kiran Deshpande, Pankaj Gupta, Ravi Nigam & Others",Seed Funding,"600,000"
481,11/08/2016,Travelyaari,Bangalore,"Gujarat Venture Finance Limited (GVFL), Bennett Coleman & Co. Ltd",Private Equity,"7,000,000"
482,11/08/2016,Genextstudents,Mumbai,1Crowd (through crowdfunding),Seed Funding,"209,000"
483,11/08/2016,Zenoti,Hyderabad,"Norwest Venture Partners, Accel India",Private Equity,"15,000,000"
484,12/08/2016,Crofarm,Gurgaon,"Mukul Singhal, Rohit Jain, Himanshu Aggrawal, Sunil Goyal Ashish Gupta,",Private Equity,"1,500,000"
485,12/08/2016,Faircent.com,Gurgaon,Brand Capital,Private Equity,"1,500,000"
486,12/08/2016,Innovaccer,Noida,Westbridge Capital Partners,Private Equity,"15,600,000"
487,12/08/2016,Cuberoot,Gurgaon,Undisclosed Investors,Seed Funding,"500,000"
488,16/08/2016,OyoRooms,New Delhi,SoftBank Group,Private Equity,"62,000,000"
489,16/08/2016,Hike,New Delhi,"Tencent Holdings, Foxconn Technology Group, Tiger Global, SoftBank Group, Bharti Enterprises",Private Equity,"175,000,000"
490,16/08/2016,Joolz,Mumbai,"Powerhouse Ventures, M&S Partners",Private Equity,"500,000"
491,16/08/2016,SaleBhai,Ahmedabad,Brand Capital,Private Equity,"1,500,000"
492,16/08/2016,Makkajai,Pune,"Anand Chandrasekaran, Ananth Narayanan, Mekin Maheshwari, Ravi Garikipati, Divyesh Shah, Swastika Company Ltd",Seed Funding,"250,000"
493,17/08/2016,MaalGaadi,Indore,"Swan Angel Network,Sachin Khandelwal and others",Seed Funding,"375,000"
494,17/08/2016,Appknox,Bangalore,"SeedPlus, Infocomm Investments, Accel Partners RNT Associates",Private Equity,"675,000"
495,19/08/2016,Quikr,Mumbai,Brand Capital,Private Equity,"20,000,000"
496,19/08/2016,Digio,Bangalore,Rainmatter,Private Equity,"375,000"
497,22/08/2016,Puro Wellness,Mumbai,Torrent Group,Private Equity,"37,000,000"
498,23/08/2016,Notesgen,New Delhi,"Riju Gupta, Kamal Chabra",Seed Funding,"100,000"
499,23/08/2016,Octo.ai,New Delhi,"Outbox Ventures, Jaspreet Bindra, Arjun Malhotra, Rohan Malhotra, Sidharth Rao, Rakesh Agrawal",Seed Funding,"200,000"
500,24/08/2016,UnaAcademy,Bangalore,"Blume Ventures, Sachin Bansal, Vijay Shekhar Sharma, Binny Bansal,  Kunal Shah, Sandeep Tandon, Ashish Tulsian",Private Equity,"1,000,000"
501,24/08/2016,Advenio,Chandigarh,Kalaari Capital,Seed Funding,"100,000"
502,24/08/2016,Guarented,Bangalore,Kalaari Capital,Seed Funding,"500,000"
503,24/08/2016,Uber Dreams,Mumbai,Mohit Lalvani,Seed Funding,"500,000"
504,24/08/2016,Convegenius,Noida,Michael and Susan Dell Foundation,Private Equity,"900,000"
505,24/08/2016,UrbanLadder,Mumbai,Trifecta Capital,Private Equity,"3,000,000"
506,25/08/2016,Cult,Bangalore,CureFit,Private Equity,"3,000,000"
507,25/08/2016,ZoomCar,Bangalore,Ford Smart Mobility Llc,Private Equity,"24,000,000"
508,26/08/2016,Plix,Gurgaon,Instalabs,Seed Funding,"500,000"
509,26/08/2016,Mobikwik,Gurgaon,Net1 UEPS Technologies Inc,Private Equity,"40,000,000"
510,26/08/2016,MyDidi,Mumbai,Undisclosed Ex Mckinsey Directors and Partners,Seed Funding,"550,000"
